네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품 > 과자/베이커리 > 아이스크림/빙수
조회기간 : 2022.10.01. ~ 2023.10.01. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이스크림/빙수"
"2022-10-01",35
"2022-10-02",39
"2022-10-03",44
"2022-10-04",42
"2022-10-05",39
"2022-10-06",36
"2022-10-07",31
"2022-10-08",30
"2022-10-09",35
"2022-10-10",37
"2022-10-11",36
"2022-10-12",35
"2022-10-13",32
"2022-10-14",30
"2022-10-15",27
"2022-10-16",38
"2022-10-17",37
"2022-10-18",35
"2022-10-19",33
"2022-10-20",33
"2022-10-21",29
"2022-10-22",32
"2022-10-23",38
"2022-10-24",38
"2022-10-25",37
"2022-10-26",35
"2022-10-27",33
"2022-10-28",29
"2022-10-29",30
"2022-10-30",32
"2022-10-31",36
"2022-11-01",37
"2022-11-02",37
"2022-11-03",37
"2022-11-04",30
"2022-11-05",31
"2022-11-06",34
"2022-11-07",35
"2022-11-08",31
"2022-11-09",32
"2022-11-10",32
"2022-11-11",30
"2022-11-12",29
"2022-11-13",35
"2022-11-14",35
"2022-11-15",31
"2022-11-16",33
"2022-11-17",32
"2022-11-18",30
"2022-11-19",32
"2022-11-20",36
"2022-11-21",38
"2022-11-22",34
"2022-11-23",34
"2022-11-24",33
"2022-11-25",27
"2022-11-26",30
"2022-11-27",35
"2022-11-28",35
"2022-11-29",30
"2022-11-30",30
"2022-12-01",29
"2022-12-02",27
"2022-12-03",26
"2022-12-04",35
"2022-12-05",35
"2022-12-06",33
"2022-12-07",37
"2022-12-08",38
"2022-12-09",35
"2022-12-10",34
"2022-12-11",40
"2022-12-12",41
"2022-12-13",35
"2022-12-14",33
"2022-12-15",34
"2022-12-16",32
"2022-12-17",33
"2022-12-18",38
"2022-12-19",39
"2022-12-20",39
"2022-12-21",40
"2022-12-22",35
"2022-12-23",30
"2022-12-24",29
"2022-12-25",31
"2022-12-26",36
"2022-12-27",34
"2022-12-28",33
"2022-12-29",33
"2022-12-30",31
"2022-12-31",32
"2023-01-01",36
"2023-01-02",39
"2023-01-03",36
"2023-01-04",37
"2023-01-05",36
"2023-01-06",33
"2023-01-07",35
"2023-01-08",43
"2023-01-09",42
"2023-01-10",38
"2023-01-11",40
"2023-01-12",42
"2023-01-13",37
"2023-01-14",41
"2023-01-15",44
"2023-01-16",43
"2023-01-17",39
"2023-01-18",34
"2023-01-19",30
"2023-01-20",27
"2023-01-21",29
"2023-01-22",31
"2023-01-23",35
"2023-01-24",41
"2023-01-25",43
"2023-01-26",41
"2023-01-27",37
"2023-01-28",39
"2023-01-29",45
"2023-01-30",45
"2023-01-31",47
"2023-02-01",46
"2023-02-02",54
"2023-02-03",40
"2023-02-04",42
"2023-02-05",48
"2023-02-06",58
"2023-02-07",52
"2023-02-08",50
"2023-02-09",48
"2023-02-10",45
"2023-02-11",47
"2023-02-12",56
"2023-02-13",55
"2023-02-14",52
"2023-02-15",47
"2023-02-16",47
"2023-02-17",43
"2023-02-18",50
"2023-02-19",56
"2023-02-20",56
"2023-02-21",54
"2023-02-22",52
"2023-02-23",49
"2023-02-24",47
"2023-02-25",50
"2023-02-26",57
"2023-02-27",56
"2023-02-28",53
"2023-03-01",59
"2023-03-02",51
"2023-03-03",49
"2023-03-04",53
"2023-03-05",56
"2023-03-06",56
"2023-03-07",55
"2023-03-08",57
"2023-03-09",51
"2023-03-10",43
"2023-03-11",48
"2023-03-12",55
"2023-03-13",54
"2023-03-14",53
"2023-03-15",50
"2023-03-16",47
"2023-03-17",39
"2023-03-18",43
"2023-03-19",46
"2023-03-20",49
"2023-03-21",51
"2023-03-22",49
"2023-03-23",48
"2023-03-24",44
"2023-03-25",40
"2023-03-26",43
"2023-03-27",51
"2023-03-28",47
"2023-03-29",47
"2023-03-30",82
"2023-03-31",81
"2023-04-01",62
"2023-04-02",67
"2023-04-03",69
"2023-04-04",72
"2023-04-05",69
"2023-04-06",64
"2023-04-07",56
"2023-04-08",50
"2023-04-09",54
"2023-04-10",58
"2023-04-11",59
"2023-04-12",57
"2023-04-13",53
"2023-04-14",49
"2023-04-15",53
"2023-04-16",54
"2023-04-17",61
"2023-04-18",58
"2023-04-19",57
"2023-04-20",56
"2023-04-21",53
"2023-04-22",52
"2023-04-23",58
"2023-04-24",67
"2023-04-25",68
"2023-04-26",59
"2023-04-27",57
"2023-04-28",54
"2023-04-29",49
"2023-04-30",55
"2023-05-01",62
"2023-05-02",66
"2023-05-03",61
"2023-05-04",53
